tipooperador,empresabandera,razonsocial,cuit,direccion,localidad,provincia,Longitude,Latitude
Sólo GNC,BLANCA,CABILDO GAS 197 S.R.L.,30-70326705-6,AVDA. DEL SESQUICENTENARIO 4100 ESQ. CABILDO,LOS POLVORINES,BUENOS AIRES,-58.689329,-34.86468
Duales (líquidos + GNC),YPF,NUEVOS RUMBOS SC,30-58272721-6,AV CONSTITUCION 7850,MAR DEL PLATA,BUENOS AIRES,-57.58251,-37.95124
Sólo GNC,BLANCA,RUTA 26 S.A.,30-70703536-2,RUTA 26 ESQ. LOS JAZMINES,DEL VISO,BUENOS AIRES,-58.781342,-34.437334
Sólo GNC,BLANCA,OESTE GAS S.A.,30-64190956-0,AV. PTE. PERON 3565,HAEDO,BUENOS AIRES,-58.6125,-34.63399
Sólo GNC,BLANCA,GNC AGUERO S.A.,30-70854284-5,AGUERO 1215,AVELLANEDA,BUENOS AIRES,-58.368274,-34.678802
Combustibles líquidos únicamente,PUMA,SAN ALBERTO BALCARCE S.R.L.,30-58891982-6,Ruta Nacional 226 KM 89.50,BALCARCE,BUENOS AIRES,-58.44468,-37.67676
Duales (líquidos + GNC),DAPSA S.A.,LOS COLORES MAGICOS S.A.,30-64540560-5,AV. MARQUEZ 668,VILLA BOSCH,BUENOS AIRES,-58.590785,-34.569831
Duales (líquidos + GNC),YPF,RAMON FRANCO NORTE SRL,30-55016931-9,AV. RAMON FRANCO 5699,WILDE,BUENOS AIRES,-58.31859,-34.69582
Combustibles líquidos únicamente,YPF,ESTACION DE SERVICIO GENERAL MOSCONI SRL,30-54350298-3,SALTA 2696,ROSARIO,SANTA FE,-60.65803,-32.93535
Combustibles líquidos únicamente,YPF,OSCAR J BRUERA Y DIEGO R  BRUERA,30-70784591-7,BV. 25 DE MAYO 122,PORTEÑA,CORDOBA,-62.06818,-31.01908
Combustibles líquidos únicamente,PUMA,"FRANDINO MIGUEL, VICTOR, DARIO Y DANIEL",30-67432299-9,AV. SAN MARTIN Y 25 DE MAYO,MARIA JUANA,SANTA FE,-61.755631,-31.674121
Combustibles líquidos únicamente,BLANCA,BRUERA OSCAR Y BRUERA DIEGO S.H.,30-70784591-7,SAN MARTIN Y 25 DE MAYO,ALTOS DEL CHIPION,CORDOBA,-62.33612,-30.9538
Sólo GNC,BLANCA,CUCOR S.A.,30-69685455-2,AV. MARQUEZ 1460,JOSE LEON SUAREZ,BUENOS AIRES,-58.597239,-34.576013
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,EMECO S.A.,30-68017965-0,AV.DARDO ROCHA 800,BERNAL,BUENOS AIRES,-58.298247,-34.715764
Sólo GNC,BLANCA,AQUI GAS S.A.,30-64456173-5,ESTADO DE ISRAEL 4361,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.4275,-34.598087
Duales (líquidos + GNC),PUMA,GASKO SA,30-64006668-3,AV SAN MARTÍN 5095 -,FLORIDA,BUENOS AIRES,-58.52652,-34.54487
Sólo GNC,BLANCA,LECUGAS S.A.,30-64350321-9,SANTA CATALINA 325,LUIS GUILLON,BUENOS AIRES,-58.440986,-34.803653
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,BOTTAZZINI HERMANOS S.H.,30-63632426-0,GOB.UGARTE 2105 OLIVOS,OLIVOS,BUENOS AIRES,-58.496607,-34.516428
Duales (líquidos + GNC),PUMA,COMBUSTIBLES QUEQUEN S.A.,30-70763914-4,59 N* 996,NECOCHEA,BUENOS AIRES,-58.723133,-38.566355
Duales (líquidos + GNC),AXION,COMPIL S.R.L.,30-68580980-6,9 DE JULIO 202,PILAR,BUENOS AIRES,-58.9062,-34.45043
Duales (líquidos + GNC),BLANCA,SANTA LUCIA SRL,33-55355650-9,RANCAGUA 3310,CORDOBA,CORDOBA,-64.14753,-31.37207
Duales (líquidos + GNC),SHELL C.A.P.S.A.,ESTACION DE SERVICIO PANAMERICANA S.R.L.,30-61560527-8,AV. JAPON 10,CORDOBA,CORDOBA,-64.176303,-31.335815
Sólo GNC,BLANCA,GNC MAIPU S.A.,30-70832608-5,"AUTOVIA J.M.FANGIO (EX RUTA 2) KM 275,5",MAIPU,BUENOS AIRES,-57.873519,-36.867575
Duales (líquidos + GNC),DAPSA S.A.,DUAL NORTE S.R.L.,30-65036622-7,AV. FONDO DE LA LEGUA 2591,VILLA ADELINA,BUENOS AIRES,-58.532734,-34.511313
Sólo GNC,BLANCA,HGB S.A.,30-70816203-1,Av. Sabattini 1405,CORDOBA,CORDOBA,-64.167846,-31.43033
Combustibles líquidos únicamente,VOY,WALTER MARIO CZELADA,20-14383173-7,TUCUMAN 160,MURPHY,SANTA FE,-61.76995,-33.73298
Duales (líquidos + GNC),SHELL C.A.P.S.A.,ITALSERVICE SRL,30-53470144-2,godoy cruz 355,RIO CUARTO,CORDOBA,-64.364889,-33.155578
Combustibles líquidos únicamente,AXION,GARCIA SA,30-52145856-5,FASOLA 810,HAEDO,BUENOS AIRES,-58.59198,-34.63663
Combustibles líquidos únicamente,PUMA,FIGARRA ROBERTO,23-05482381-9,SARMIENTO 891,BAHIA BLANCA,BUENOS AIRES,-62.257074,-38.709351
Combustibles líquidos únicamente,AXION,RODSTATION SA,30-70702102-7,calchaqui 4790,QUILMES,BUENOS AIRES,-58.272784,-34.767057
Combustibles líquidos únicamente,YPF,VALENTIN CAON S.R.L.,30-70751832-0,BELGRANO 475,BELL VILLE,CORDOBA,-62.69352,-32.63603
Combustibles líquidos únicamente,YPF,COOPERATIVA AGROP.DARREGUEIRA LTDA.,30-51786726-4,HIPOLITO IRIGOYEN 98,DARREGUEIRA,BUENOS AIRES,-63.15986,-37.68781
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,ESTACION DE SERVICIO 12 DE OCTUBRE S.R.L.,30-61524471-2,Av. Presidente Perón 5801|,SAN MARTIN,BUENOS AIRES,-58.560458,-34.586399
Duales (líquidos + GNC),YPF,JORGE ALBERTO CASO S.A.,30-63364769-7,MITRE 1100,SAN PEDRO,BUENOS AIRES,-59.66715,-33.68039
Combustibles líquidos únicamente,AXION,MIG-MAR VIDAL S.A.,30-70066517-4,SAN MARTIN 299,CNEL. VIDAL,BUENOS AIRES,-57.72961,-37.44873
Combustibles líquidos únicamente,AXION,LOS CERRITOS S.A.,30-58508358-1,Ruta Nac 12 y Sargento Cabral,SAN IGNACIO,MISIONES,-55.53936,-27.26741
Sólo GNC,BLANCA,KUANTOKI S.A.,30-64798389-4,ALBERTI 1108,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.40046,-34.62229
Duales (líquidos + GNC),SHELL C.A.P.S.A.,MAZALA S A,30-64429025-1,9 DE JULIO 104,CIUDADELA,BUENOS AIRES,-58.543741,-34.638671
Duales (líquidos + GNC),YPF,LUCAM S.A.,30-61415063-3,DR. ARTURO CAPDEVILA 3618 0 ESQ. AVDA. CIRCUNVALACIÓN (RN9),CORDOBA,CORDOBA,-64.12626,-31.37682
Duales (líquidos + GNC),YPF,LUCAM S.A.,30-61415063-3,AV. ALEM 1615,CORDOBA,CORDOBA,-64.15984,-31.38589
Duales (líquidos + GNC),BLANCA,4 GNC  S.A.,30-70833125-9,LA QUEMADA 2189,FIRMAT,SANTA FE,-61.49651,-33.46387
Duales (líquidos + GNC),YPF,JORGE ALBERTO CASO S.A.,30-63364769-7,RUTA NACIONAL NRO 9 KM. 162,SAN PEDRO,BUENOS AIRES,-59.71302,-33.76408
Duales (líquidos + GNC),YPF,LUCAM S.A.,30-61415063-3,FRAY M. ESQUIU Y LIBERTAD N° 700,CORDOBA,CORDOBA,-64.17279,-31.41061
Combustibles líquidos únicamente,YPF,ANGIOLINI EDUARDO ALBERTO,23-06509836-9,AVENIDA SAN MARTIN 399,BUCHARDO,CORDOBA,-63.506101,-34.721379
Duales (líquidos + GNC),YPF,ALBERDI GAS S.A.,30-64432049-5,AV. JUAN BAUTISTA ALBERDI 5628,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.50073,-34.65023
Duales (líquidos + GNC),SHELL C.A.P.S.A.,SAN JOSE SRL,33-68595153-9,ILLIA 1719,RAMOS MEJIA,BUENOS AIRES,-58.558029,-34.67004
Duales (líquidos + GNC),GULF,RAMIR S.A.,30-70744656-7,Arieta 1694,SAN JUSTO,BUENOS AIRES,-58.57608,-34.66663
Combustibles líquidos únicamente,PUMA,ESTACION DE SERVICIO VAZQUEZ HNOS.SRL,30-63617801-9,Piedrabuena 4611,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.47882,-34.685069
Duales (líquidos + GNC),YPF,R.RIETMANN Y CIA SRL,30-54262342-6,av. del trabajo 2449,SANTO TOME,SANTA FE,-60.768094,-31.672128
Duales (líquidos + GNC),BLANCA,COMBEC S.A.,30-69964277-7,AV. H. YRIGOYEN 20795,GLEW,BUENOS AIRES,-58.38974,-34.88772
Combustibles líquidos únicamente,GULF,CORBAL S.A.,33-67463561-9,RUTA NACIONAL NRO 34 KM. 120,CAÑADA ROSQUIN,SANTA FE,-61.55132,-32.12934
Combustibles líquidos únicamente,YPF,SERVIFRANCK SRL,30-58941076-5,SAN MARTIN 1311,FRANCK,SANTA FE,-60.940837,-31.592874
Duales (líquidos + GNC),PUMA,ROJAS GNC S.R.L.,30-66562887-2,RUTA 188 KM. 110,ROJAS,BUENOS AIRES,-60.71676,-34.20049
Combustibles líquidos únicamente,AXION,EGESUR S.A.,30-67369531-7,MARCELINO ALVAREZ 85,RIO GALLEGOS,SANTA CRUZ,-69.20103,-51.62845
Combustibles líquidos únicamente,YPF,QUINTIN R. SIONE E HIJOS S.R.L.,30-60471396-6,RUTA NACIONAL 18 KM. 81,LAS TUNAS,ENTRE RIOS,-59.72892,-31.86824
Combustibles líquidos únicamente,AXION,EL NUEVO SOL,27-26442083-6,AV. ESTRADA 509 ESQ.  AV. GENERAL ROCA 332,COLONIA SARMIENTO,CHUBUT,-69.071424,-45.590382
Combustibles líquidos únicamente,YPF,SEGUIR S.C.A.,30-52320266-5,Colón 1278,GOYA,CORRIENTES,-59.26558,-29.14811
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,SANTA TERESA COMBUSTIBLES S.R.L.,30-69085774-6,RUTA 18 KM. 56,SANTA TERESA,SANTA FE,-60.770976,-33.431244
Combustibles líquidos únicamente,YPF,COMERCIAL MANITTA HNOS S.R.L.,30-54320196-7,SAN MARTÍN 489,LUJAN DE CUYO,MENDOZA,-68.87872,-33.03682
Combustibles líquidos únicamente,AXION,ESTACION DE SERVICIO PUNILLA SRL,30-69240212-6,AVENIDA FREYRE 1647,SANTA FE,SANTA FE,-60.721287,-31.654344
Combustibles líquidos únicamente,YPF,PEDRO MANUEL FANTIN,20-12901527-7,RUTA NACIONAL Nº11 KM 872,VILLA OCAMPO,SANTA FE,-59.34633,-28.48996
Combustibles líquidos únicamente,YPF,ANDRES BINAGHI S.A. (EX-ANDRES BINAGHI S.A.C.I.A.),33-55267407-9,RUTA NAC. 11 ACC. CALLE 2 Y 19,LAS TOSCAS,SANTA FE,-59.2635,-28.3551
Duales (líquidos + GNC),PUMA,VERTICE S.R.L.,30-56363838-5,AV. JUAN BAUTISTA ALBERDI 465,SAN RAFAEL,MENDOZA,-68.328961,-34.627607
Combustibles líquidos únicamente,YPF,PETACCIO Y GERCOVICH,30-52068881-8,BRD. COLON 1601,PERGAMINO,BUENOS AIRES,-60.58499,-33.90002
Duales (líquidos + GNC),DAPSA S.A.,COMBUSTIBLES EL CIPRES S.R.L,30-70738556-8,Av. Sesquicentenario 4789,PABLO NOGHES,BUENOS AIRES,-58.68307,-34.48316
Combustibles líquidos únicamente,YPF,GUARESCHI Y ASOCIADOS S. H.,33-66937610-9,LEANDRO N. ALEM Y SAN JUAN,VILLA ASCAZUBI,CORDOBA,-63.896504,-32.165233
Duales (líquidos + GNC),PUMA,SERVI-OESTE S.A.,30-68973719-2,JUAN B JUSTO 3501,CORDOBA,CORDOBA,-64.176113,-31.383869
Combustibles líquidos únicamente,PUMA,LA ERMITA SRL,30-60201715-6,LIBERTAD 321,RAWSON,CHUBUT,-65.10444,-43.30806
Combustibles líquidos únicamente,YPF,D.G.B. S.R.L.,30-70728425-7,ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,-65.18229,-31.9509
Combustibles líquidos únicamente,YPF,AUGUSTO MORA S.A.,30-67698723-8,FRANCISCO DE LA RETA 1285 SAN JOSÉ,GUAYMALLEN,MENDOZA,-68.82364,-32.88554
Combustibles líquidos únicamente,AXION,9 DE JULIO COMBUSTIBLES SRL,30-68604387-4,AV. 9 DE JULIO 1501,RESISTENCIA,CHACO,-58.97305,-27.46301
Combustibles líquidos únicamente,BLANCA,AGROSERVICE RIESTRA S.A,30-60966739-3,DR. R. ALFONSIN (RUTA PROV.40-ACCESO),NORBERTO DE LA RIESTRA,BUENOS AIRES,-59.78814,-35.271991
Duales (líquidos + GNC),YPF,TIBURCIO SANZ SA,30-70710241-8,AVENIDA SAN MARTIN ESQUINA GUATEMALA,BANDA DEL RIO SALI,TUCUMAN,-65.17014,-26.83767
Duales (líquidos + GNC),GULF,RANQUEL GAS SRL,30-64163396-4,AV 25 DE MAYO 1807,VILLA MERCEDES,SAN LUIS,-65.46374,-33.65878
Duales (líquidos + GNC),AXION,EL REGRESO S.R.L.,30-60430801-8,URQUIZA 2000,GUALEGUAYCHU,ENTRE RIOS,-58.53652,-33.0095
Combustibles líquidos únicamente,AXION,"ARRATE, JOSE LUIS",20-13207323-7,59 N 3734,NECOCHEA,BUENOS AIRES,-58.749893,-38.545886
Duales (líquidos + GNC),YPF,TIBURCIO SANZ SA,30-70710241-8,"AUTOPISTA JUAN DOMINGO PERON KM 2,5",ALDERETES,TUCUMAN,-65.15444,-26.82382
Combustibles líquidos únicamente,YPF,SUCESION DE VANNI DOMINGO LORENZO,20-06440870-5,RUTA NACIONAL Nº 8-KM. 410,ARIAS,CORDOBA,-62.39911,-33.62681
Combustibles líquidos únicamente,YPF,"NAVALL, HORACIO JAVIER",20-14301916-1,AVDA.RIO DE LA PLATA 401,GUATIMOZIN,CORDOBA,-62.43959,-33.46125
Combustibles líquidos únicamente,BLANCA,"NAVALL,HORACIO JAVIER",20-14301916-1,Islas  Malvinas 8,CAVANAGH,CORDOBA,-62.3342,-33.48016
Combustibles líquidos únicamente,YPF,FOCHEZATTO EDUARDO ALABERTO,20-10322801-9,DON BOSCO 190,VILLALONGA,BUENOS AIRES,-62.61995,-39.91438
Combustibles líquidos únicamente,YPF,FOCHEZATTO EDUARDO ALBERTO,20-10322801-9,RUTA 3 KM 850,VILLALONGA,BUENOS AIRES,-62.66406,-39.88704
Combustibles líquidos únicamente,YPF,MARIA HNOS. S.R.L.,30-54775293-3,AVDA. SAN MARTÍN Y 9 DE JULIO,VIALE,ENTRE RIOS,-60.00965,-31.87128
Combustibles líquidos únicamente,VOY,GROSS HNOS SCC,30-51796192-9,Zeballos  576,GUATRACHE,LA PAMPA,-63.542927,-37.666788
Combustibles líquidos únicamente,BLANCA,COOPERATIVA AGRÍCOLA MIXTA DE MONTE CARLO LIMITADA,30-52884474-6,RUTA 11 EL ALCAZAR,EL ALCAZAR,MISIONES,-54.818233,-26.705844
Sólo GNC,BLANCA,MEXI-GAS S.A.,30-64589806-7,BERNARDO DE IRIGOYEN 592,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.380152,-34.615109
Duales (líquidos + GNC),AXION,7 Y 511 S.A.,30-70720646-9,Av. 7 2060,LA PLATA,BUENOS AIRES,-57.992644,-34.883186
Combustibles líquidos únicamente,YPF,AMÉRICO STUYCK SRL,30-51913014-5,Las Heras 110,HERNANDO,CORDOBA,-63.73131,-32.43005
Duales (líquidos + GNC),YPF,BORNORONI HNOS SRL,33-70797590-9,PUEYRREDON 2316,CORDOBA,CORDOBA,-64.217,-31.41964
Duales (líquidos + GNC),YPF,PETROGAS TANDIL S.A.,30-64214650-1,Colectora Pugliese 898,TANDIL,BUENOS AIRES,-59.11282,-37.31345
Combustibles líquidos únicamente,AXION,CHAVARINI JOSE LUIS,20-06263767-7,SAN MARTIN 705 Y GUEMES 440,SAN JERONIMO,SANTA FE,-61.076821,-31.550978
Sólo GNC,BLANCA,GAS Y GAS S.A,30-64500160-1,THAMES 448,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.444193,-34.595876
Duales (líquidos + GNC),YPF,PETROTANDIL SA,30-53523084-2,av del valle 602,TANDIL,BUENOS AIRES,-59.14456,-37.31287
Combustibles líquidos únicamente,YPF,PETROTANDIL SA,30-53523084-2,"RUTA 227 Y ACC, NAPALEOFÚ",NAPALEOFU,BUENOS AIRES,-58.74478,-37.62774
Combustibles líquidos únicamente,YPF,SAN MIGUEL S.A.,30-62068303-1,1 Nº 1499,LA PLATA,BUENOS AIRES,-57.932308,-34.917875
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,CARLOS Y OSCAR SANCHEZ SH,30-67637212-8,RIVADAVIA 15 ESQ.COLON-COSTA DE ARAUJO,LAVALLE,MENDOZA,-68.393696,-32.758319
Combustibles líquidos únicamente,BLANCA,PETROSAR PRODUCCIÓN Y SERVICIOS S.A.,30-53983668-0,Ruta 26 Km 86,CERRO DRAGON,CHUBUT,-68.28864,-45.74228
Duales (líquidos + GNC),SHELL C.A.P.S.A.,GNC DEL OESTE SRL,30-70761376-5,AV. RATTI  880,ITUZAINGO,BUENOS AIRES,-58.67903,-34.654574
Sólo GNC,BLANCA,LIBERTADOR S.A.,30-69473270-0,PERÚ 2822,MENDOZA,MENDOZA,-68.843765,-32.870218
Combustibles líquidos únicamente,YPF,MATIAS AMENGUAL S.R.L.,30-66813329-7,Av. Dr. E. Ocampo 815,SAN FERNANDO DEL VALLE,CATAMARCA,-65.79682,-28.47002
Duales (líquidos + GNC),PUMA,EDISON GAS S.A.,30-67963177-9,AV. EDISON 1879,MAR DEL PLATA,BUENOS AIRES,-57.560511,-38.051447
Sólo GNC,BLANCA,AZULES S.A,30-66128920-8,BANDERA DE LOS ANDES 3330,VILLA NUEVA,MENDOZA,-68.796497,-32.89775
Duales (líquidos + GNC),PUMA,SERVISUR S.R.L.,30-62989455-8,SANTIAGO MARZO 936,SANTA ROSA,LA PAMPA,-64.29788,-36.63536
Duales (líquidos + GNC),YPF,SAN ISIDRO 2000 S.A.,33-70790140-9,AV. ANDRES ROLÓN 1902,BECCAR,BUENOS AIRES,-58.54212,-34.46806
Sólo GNC,BLANCA,AZULES S.A.,30-66128920-8,GODOY CRUZ 6596,VILLA NUEVA,MENDOZA,-68.760876,-32.901497
Duales (líquidos + GNC),YPF,WORKERS S.A.,30-68765208-4,AV.CROVARA 1252,VILLA MADERO,BUENOS AIRES,-58.51289,-34.6815
Sólo GNC,BLANCA,AZULES S.A.,30-66128920-8,GODOY CRUZ ESQUINA AVELLANEDA,VILLA NUEVA,MENDOZA,-68.789834,-32.893552
Combustibles líquidos únicamente,AXION,PONCE JOSE MARIA,20-13010361-9,PEDRO GOYENA Y B. ROLDAN,RIO CUARTO,CORDOBA,-64.33555,-33.13643
Duales (líquidos + GNC),PUMA,PONCE JOSE MARIA,20-13010361-9,AVENIDA SABATTINI 2210,RIO CUARTO,CORDOBA,-64.354957,-33.138865
Combustibles líquidos únicamente,YPF,GUSTAVO ADELQUI BRUNETTI,20-17645672-9,SAN MARTIN 1302,CRUZ ALTA,CORDOBA,-61.81236,-33.00797
Duales (líquidos + GNC),YPF,YARAS S.A.,30-70818928-2,BELGRANO 1201,TUPUNGATO,MENDOZA,-69.14329,-33.36364
Combustibles líquidos únicamente,YPF,AGENTES ROMERO S.A.,30-52015269-1,SGTO. CABRAL 605,NORBERTO DE LA RIESTRA,BUENOS AIRES,-59.77315,-35.27361
Sólo GNC,BLANCA,ASPRO MZA S.A.,30-70820194-0,DR MORENO 716,LAVALLE,MENDOZA,-68.607231,-32.722573
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,PEUMAN S.R.L,30-68817343-0,RUTA NAC 205 Y AV PEREYRA,SALADILLO,BUENOS AIRES,-59.781532,-35.62924
Duales (líquidos + GNC),SHELL C.A.P.S.A.,RODPETROL SRL,30-70895737-9,AV MONTEVERDE  Y MOSCONI 185,QUILMES,BUENOS AIRES,-58.281393,-34.773853
Combustibles líquidos únicamente,PUMA,JORGE PABLO STRIEBECK,20-11540298-7,AV. URIBURU Y COLON,GRAL. LA MADRID,BUENOS AIRES,-61.262441,-37.243084
Combustibles líquidos únicamente,YPF,AIMETTA S.R.L.,30-70717612-8,AVDA. GRAL. SAVIO 1202,RIO TERCERO,CORDOBA,-64.12785,-32.17027
Combustibles líquidos únicamente,YPF,CHITCHIAN SA,30-59483278-3,ANGEL GALLARDO 1024,SAN CARLOS DE BARILOCHE,RIO NEGRO,-71.29588,-41.13799
Combustibles líquidos únicamente,YPF,AGENTES ROMERO S.A.,30-52015269-1,RUTA 51 Y 63,SALADILLO,BUENOS AIRES,-59.78962,-35.6913
Combustibles líquidos únicamente,YPF,JOSE MATZKIN SACYA,30-56465725-1,Libertad 150,BASAVILBASO,ENTRE RIOS,-58.87553,-32.37266
Combustibles líquidos únicamente,YPF,CHITCHIAN SA,30-59483278-3,AV. BUSTILLO 3800,SAN CARLOS DE BARILOCHE,RIO NEGRO,-71.3504,-41.12805
Combustibles líquidos únicamente,YPF,AGENTES ROMERO S.A.,30-52015269-1,CABRAL Y SARMIENTO,SALADILLO,BUENOS AIRES,-59.77326,-35.64414
Duales (líquidos + GNC),AXION,GNC DEL OESTE SRL,30-70761376-5,AV. RATTI 2087,ITUZAINGO,BUENOS AIRES,-58.68874,-34.64623
Combustibles líquidos únicamente,YPF,AGENTES ROMERO S.A.,30-52015269-1,SAN MARTÍN Y VIALE,SALADILLO,BUENOS AIRES,-59.78616,-35.645456
Duales (líquidos + GNC),DAPSA S.A.,SU - MI S.A.,30-70721944-7,AV. BELGRANO Nº 2711,VILLA DOLORES,CORDOBA,-65.15667,-31.95059
Combustibles líquidos únicamente,DAPSA S.A.,MAXTRA S.A.,30-63748514-4,AV.MORENO 2007,SALADILLO,BUENOS AIRES,-59.769208,-35.645697
Duales (líquidos + GNC),YPF,BARBOGAS 21 S.R.L.,30-64732118-2,AVDA. 32 1330,LA PLATA,BUENOS AIRES,-57.983679,-34.91427
Duales (líquidos + GNC),SHELL C.A.P.S.A.,"SANZ DE OSA CLAUDIA P.,SANZ TIBURCIO G.,SANZ LUIS F. SOCIEDAD DE HECHO",30-69173781-7,AVENIDA BELGRANO 2900,SAN MIGUEL DE TUCUMAN,TUCUMAN,-65.238599,-26.811649
Duales (líquidos + GNC),AXION,CONCORD GAS SA,30-70317110-5,SAAVEDRA 61,SAN JOSE,MENDOZA,-68.829724,-32.891659
Duales (líquidos + GNC),YPF,SERVINORTE S.A.,30-64572255-4,PARAGUAY 1676 Y ARTURO CAPDEVILA,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.390564,-34.59864
Duales (líquidos + GNC),SHELL C.A.P.S.A.,MANUEL SANCHEZ SILLERO E HIJOS S.A.,30-60467157-0,SAN MARTÍN 1500,TUNUYAN,MENDOZA,-69.016147,-33.57381
Combustibles líquidos únicamente,AXION,JAUREGUI Y MORALES S.R.L.,30-54541911-0,AV GRAL PAZ 191,BOLIVAR,BUENOS AIRES,-61.11583,-36.23194
Duales (líquidos + GNC),PUMA,NORTE S.A,30-55655316-1,AV. 13 ESQ. 530,LA PLATA,BUENOS AIRES,-57.97737,-34.904199
Sólo GNC,BLANCA,ECOMETANO SA,30-70820651-9,BRASIL 341,GODOY CRUZ,MENDOZA,-68.839272,-32.90452
Sólo GNC,BLANCA,AMODEO PABLO,20-11580187-3,DIAMANTE 430,GODOY CRUZ,MENDOZA,-68.822661,-32.926947
Duales (líquidos + GNC),AXION,PALOMAR S.R.L.,30-69188541-7,PAULA ALBARRACIN DE SARMIENTO - NORTE 555,SAN JUAN,SAN JUAN,-68.5553,-31.52438
Duales (líquidos + GNC),GULF,WHITE S.R.L.,30-64397982-5,AV. DIRECTORIO 4586,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.48684,-34.647542
Combustibles líquidos únicamente,AXION,CENTROMAR S.A.,30-60934549-3,BOULEVARD 719 Y PASEO 107,VILLA GESELL,BUENOS AIRES,-56.978494,-37.254254
Combustibles líquidos únicamente,YPF,HERRERO S.R.L.,30-51808998-2,CÓRDOBA 7898,ROSARIO,SANTA FE,-60.72702,-32.93022
Duales (líquidos + GNC),YPF,DEL GOLF S.A.,30-64500955-6,Av. Fondo de la Legua 2129,VILLA ADELINA,BUENOS AIRES,-58.53578,-34.50748
Combustibles líquidos únicamente,YPF,USHUAIA SERVICIOS S.R.L.,30-67574760-8,AVDA.PERITO MORENO Y EVA PERON S/Nº,USHUAIA,TIERRA DEL FUEGO,-68.26198,-54.79351
Duales (líquidos + GNC),SHELL C.A.P.S.A.,DANIEL CASTIÑEIRA Y CIA S.R.L.,30-54724011-8,AV. 24 DE SETIEMBRE 1290,CORDOBA,CORDOBA,-64.16608,-31.413965
Duales (líquidos + GNC),SHELL C.A.P.S.A.,DANIEL CASTIÑEIRA Y CIA S.R.L.,30-54724011-8,BELGRANO 930,CORDOBA,CORDOBA,-64.19306,-31.425904
Duales (líquidos + GNC),AXION,BIFUEL S.R.L.,30-70772223-8,RECTA MARTINOLI 7365,ARGUELLO,CORDOBA,-64.26498,-31.34788
Duales (líquidos + GNC),SHELL C.A.P.S.A.,MEDIAR S.A.,30-68754860-0,AV. DUARTE QUIROS 3090,CORDOBA,CORDOBA,-64.223618,-31.40687
Duales (líquidos + GNC),YPF,CORAFAL NORTE S.A.,30-55084758-9,9 DE JULIO 101,SAN MARTIN,BUENOS AIRES,-58.54014,-34.58202
Combustibles líquidos únicamente,BLANCA,MACIAS MARIA HONEY,27-16194855-7,DEAN FUNES 598,GIGENA,CORDOBA,-64.33801,-32.76117
Duales (líquidos + GNC),PUMA,NEO SERVI S.A.,30-51651899-1,JUAN MANUEL DE ROSAS 5604,ISIDRO CASANOVA,BUENOS AIRES,-58.57363,-34.69429
Combustibles líquidos únicamente,AXION,VERTAS S.A.,30-67373909-8,SAN MARTIN 590,CALETA OLIVIA,SANTA CRUZ,-67.5173,-46.4417
Combustibles líquidos únicamente,AXION,VERTAS S.A.,30-67373909-8,RUTA 3 ACCESO SUR,CALETA OLIVIA,SANTA CRUZ,-67.51647,-46.4611
Combustibles líquidos únicamente,YPF,KEH COM S.A.,30-70806846-9,AVDA ROCA 116,PERGAMINO,BUENOS AIRES,-60.56716,-33.8949
Combustibles líquidos únicamente,AXION,ORTFRE SRL,30-68369127-1,RIVADAVIA 10301,CAPITAL FEDERAL,CAPITAL FEDERAL,-58.50874,-34.63873
Sólo GNC,BLANCA,FULL GNC S.R.L.,30-70854528-3,AGAPITO GONZALEZ Y ARTURO BENINI,RIO COLORADO,RIO NEGRO,-64.112128,-38.98476
Combustibles líquidos únicamente,SHELL C.A.P.S.A.,SERVIS S.A.,33-68106265-9,BRAGE VILLAR 701,HASENKAMP,ENTRE RIOS,-59.837679,-31.514204
Combustibles líquidos únicamente,AXION,ESTACION SERVICIO DEL CENTRO SRL,30-70725838-8,RIVADAVIA E YRIGOYEN,PICO TRUNCADO,SANTA CRUZ,-67.960328,-46.798999
Combustibles líquidos únicamente,PUMA,CUPO SEBASTIAN EDUARDO,20-29994472-8,AV. SAN MARTIN 795,SAN CLEMENTE DEL TUYU,BUENOS AIRES,-56.728936,-36.359263
Duales (líquidos + GNC),PUMA,PONCE JOSE MARIA,20-13010361-9,PERSIDENTE PERON ( ESTE) 220,RIO CUARTO,CORDOBA,-64.340426,-33.137913
